,Dice,Sensitivity,Specificity,Accuracy,AUC
Otsu Segmentation,0.9216809431219016,0.8547386204879951,1.0,0.9317779541015625,0.9273693102439975
Morphological Otsu Segmentation,0.9306655550923996,0.8704636277981741,0.9998561440860834,0.9390869140625,0.9351598859421287
K-means Segmentation,0.9216809431219016,0.8547386204879951,1.0,0.9317779541015625,0.9273693102439975
GMM Segmentation,0.9876716349760282,0.983885116475519,0.9925194924763358,0.98846435546875,0.9882023044759274
Active Contour Segmentation,0.900259044216168,0.8186100912960135,1.0,0.9148101806640625,0.9093050456480067
Graph Cut Segmentation,0.9515214466940249,0.9077617856330615,0.9997698305377334,0.9565582275390625,0.9537658080853975
