,Dice,Sensitivity,Specificity,Accuracy,AUC
Otsu Segmentation,0.9104007363353158,0.8355372169336236,1.0,0.922760009765625,0.9177686084668117
Morphological Otsu Segmentation,0.9151245990624229,0.8435296793268138,1.0,0.926513671875,0.9217648396634068
K-means Segmentation,0.9104007363353158,0.8355372169336236,1.0,0.922760009765625,0.9177686084668117
GMM Segmentation,0.9907347414798496,0.9935995321485428,0.9892108064562534,0.99127197265625,0.991405169302398
Active Contour Segmentation,0.9305048820320373,0.8700412618993469,1.0,0.93896484375,0.9350206309496735
Graph Cut Segmentation,0.9532732528481551,0.9107183469248513,1.0,0.95806884765625,0.9553591734624256
